Zwierzęta w domu, cat=An animal that meows, tiger=A large striped cat, rabbit=An animal with long ears, horse=An animal you can ride, crossword
Przedmioty w domu, house=A building where people live, sofa=A long comfortable seat, table=Furniture used for meals, lamp=It gives light, crossword
W szkole, teacher=A person who helps students learn, chair=You sit on it, ruler=You use it to measure, board=The teacher writes on it, crossword
Jedzenie, bread=Food used for sandwiches, apple=A round fruit, cheese=A dairy product, rice=Small white grains, crossword
Podróżowanie, train=It travels on rails, plane=It flies between cities, ticket=You need it before a journey, station=A place where trains stop, crossword
Odpowiedz nazwą zwierzęcia, cat=A pet that meows, dog=A pet that barks, fish=It lives in water, horse=You can ride it, quizcross
Odpowiedz nazwą miejsca, school=Students learn here, kitchen=You prepare meals here, hospital=Doctors work here, airport=Planes take off from here, quizcross
Odpowiedz nazwą przedmiotu, pencil=You write with it, clock=It shows the time, umbrella=It keeps you dry in the rain, mirror=You can see yourself in it, quizcross
Odpowiedz nazwą jedzenia, banana=A long yellow fruit, carrot=An orange vegetable, soup=A hot liquid meal, cake=A sweet food for birthdays, quizcross
Odpowiedz nazwą zawodu, doctor=This person treats sick people, teacher=This person works with students, driver=This person operates a vehicle, farmer=This person grows crops, quizcross
Odkryj hasło związane z domem, HOME, house=A building where people live, room=Part of a house, mouse=A small animal, bed=You sleep in it, keycross
Odkryj hasło związane z czytaniem, BOOK, bear=A large wild animal, door=You open it to enter, moon=It shines at night, kite=It flies on a string, keycross
Odkryj hasło związane z wodą, FISH, frog=A small green animal, tiger=A large striped cat, star=A bright point in the night sky, horse=An animal you can ride, keycross
Odkryj hasło związane z naturą, TREE, train=It travels on rails, green=The colour of grass, sheep=A farm animal with wool, cheese=A dairy product, keycross
Odkryj hasło związane z zabawą, GAME, goat=A farm animal with horns, cat=A pet that meows, mouse=A small animal, elephant=A very large animal, keycross
