[Wybierz poprawną odpowiedź] Music is important to Amy and she ___ to her favourite songs on the bus.,listens,listen,listening,is listen,choice
[Wybierz poprawną odpowiedź] Tom prefers books and chooses not to watch TV after dinner. He ___ it at that time.,doesn't watch,don't watch,doesn't watches,isn't watch,choice
[Wybierz poprawną odpowiedź] Sophie and Clara ___ scissors in their pencil case.,have got,has got,is got,got has,choice
[Wybierz poprawną odpowiedź] My favourite subject ___ Science because we do experiments.,is,are,am,be,choice
[Wybierz poprawną odpowiedź] Lucas stays at home on Sundays and chooses not to ride a bike. He ___ one then.,doesn't ride,don't ride,doesn't rides,isn't ride,choice
[Wpisz poprawną formę „do not”] My school does not allow phones. I ___ bring my phone to school.,don't,fill
[Wpisz poprawną formę czasownika „do”] Elena likes to listen to music after she ___ her homework.,does,fill
[Wpisz poprawną formę „to be”] My birthday ___ in August.,is,fill
[Wpisz poprawną formę „have not got”] Carla feels cold because she ___ got a coat.,hasn't,fill
[Wpisz poprawną formę czasownika „play”] We ___ football in P.E. on Friday.,play,fill
[Znajdź i popraw jeden błąd] Amy play the guitar after school.,play,plays,correct
[Znajdź i popraw jeden błąd] He don't study French on Monday.,don't,doesn't,correct
[Znajdź i popraw jeden błąd] Sophie have got a calculator in her school bag.,have,has,correct
[Znajdź i popraw jeden błąd] Tom and Lucas is British.,is,are,correct
[Znajdź i popraw jeden błąd] These red trainers isn't Rocco's.,isn't,aren't,correct
[Uzupełnij luki] Codzienna rutyna Amy — użyj czasowników podanych w nawiasach.,"Amy's daily routine: she [gets] (get) up at seven and [has] (have) an egg for breakfast. She [studies] (study) English and [plays] (play) computer games after school.",cloze
[Uzupełnij luki] Przeczenia o umiejętnościach i czynnościach — zapisz podane formy w skrócie.,"Elena [can't] (cannot) sing or swim and she [doesn't] (does not) skateboard after school.",cloze
[Uzupełnij luki] Przeczenia dotyczące zajęć i umiejętności — zapisz formy skrócone.,"My friends [don't] (do not) cook or draw in Maths. My sister [can't] (cannot) speak Spanish and she [doesn't] (does not) ride a bike. She [isn't] (is not) in the computer club.",cloze
[Uzupełnij luki] Przeczenia dotyczące ubrań i przyborów szkolnych — zapisz formy skrócone.,"This [isn't] (is not) my blue hoodie. Those jeans and trousers [aren't] (are not) mine. I [haven't] (have not) got a ruler or a dictionary.",cloze
[Uzupełnij luki] Clara w szkole — utwórz przeczenia z czasowników podanych w nawiasach.,"Clara [doesn't wear] (not wear) a pink dress or black shoes. She [doesn't have] (not have) Art in September or Geography in October. She [doesn't use] (not use) paints or a map and she [doesn't carry] (not carry) them in her school bag. Her friend [isn't] (not be) Polish.",cloze
