"If our flight is delayed, we ___ the last train home.",will miss,missed,would miss,have missed,choice
I have kept my ticket ___ the journey began.,since,for,during,while,choice
We ___ our hotel online before we left home.,had booked,have booked,book,would book,choice
How ___ luggage are you taking on the journey?,much,many,few,several,choice
The tickets ___ to us by email yesterday.,were sent,sent,are sent,have sent,choice
[Użyj poprawnej formy czasownika w nawiasie.] We ___ the train because we left home too late. (miss),missed,fill
[Użyj poprawnej formy czasownika w nawiasie.] She has already ___ the tickets for our journey. (book),booked,fill
You must show your ___ before you enter the platform.,ticket,fill
We put all our clothes into one large piece of ___.,luggage,fill
[Wpisz słowo podane w nawiasie.] The long ___ through the mountains took six hours. (journey),journey,fill
We missed our flight because the taxi arrive late.,arrive,arrived,correct
She has book a return ticket online.,book,booked,correct
We didn't bring many luggage for a weekend journey.,many,much,correct
This ticket is cheapest than the one I bought yesterday.,cheapest,cheaper,correct
The journey was so tired that we fell asleep immediately.,tired,tiring,correct
[Użyj poprawnych form czasowników w nawiasie.] Spóźnienie na autobus.,"Yesterday we [missed] our bus because we [left] the hotel too late. (miss / leave)",cloze
[Użyj poprawnych form czasowników w nawiasie.] Rezerwacja pokoju.,"Marta has already [booked] a room, but she has not [bought] her train ticket yet. (book / buy)",cloze
[Użyj poprawnych form czasowników w nawiasie.] Ciężki bagaż.,"If our luggage [is] too heavy, we [will pay] an extra fee. (be / pay)",cloze
[Użyj poprawnych form czasowników w nawiasie.] Koniec podróży.,"By the time the journey [ended], everyone had [fallen] asleep. (end / fall)",cloze
[Użyj poprawnych form czasowników w nawiasie.] Potwierdzenie rezerwacji.,"The tickets [were sent] by email after the travel agent [confirmed] our booking. (send / confirm)",cloze
